id,miejscowosc,ulica,numer_domu,kod_pocztowy
555,Andrychów,ul. Stefana Batorego,9,34-120
556,Bobrowniki,ul. Kościelna,5,87-617
557,Rosochate Kościelne,ul. Mazowiecka,5,18-220
558,Warszawa,ul. Chłodna,51,00-867
559,Legnica,ul. Jaworzyńska,47,59-220
560,Kalwaria Zebrzydowska,al. Jana Pawła II,3,34-130
561,Radocza,ul. Dworska,8,34-100
562,Nowy Dwór Mazowiecki,ul. Młodzieżowa,1,05-101
563,Wadowice,ul. Juliusza Słowackiego,4,34-100
564,Nysa,ul. Marii Rodziewiczówny,1,48-303
565,Nysa,ul. Władysława Orkana,6,48-300
566,Stargard,ul. Spichrzowa,6,73-110
567,Skarżysko-Kamienna,ul. Legionów,131,26-110
568,Wierzbowo,,72,19-200
569,Białaszewo,ul. Mikołaja Kopernika,2,19-200
570,Danówek,,7,19-200
571,Patrzyków,,2A,62-511
572,Zamość,ul. Peowiaków,3,22-400
573,Nowy Dwór Mazowiecki,ul. Szkolna,3,05-102
574,Grodzisk Mazowiecki,ul. L. Zondka,5,05-825
575,Grodzisk Mazowiecki,ul. Górna,12,05-825
576,Kielce,ul. Jagiellońska,4,25-613
577,Gdynia,ul. Narcyzowa,6,81-653
578,Kaczyna,ul. Krajobrazowa,43,34-123
579,Grodzisk Mazowiecki,ul. M. Kopernika,15,05-825
580,Grodzisk Mazowiecki,ul. W. Bartniaka,13A,05-825
581,Grodzisk Mazowiecki,ul. Zielony Rynek,2,05-825
582,Mława,ul. Ordona,14,06-500
583,Radom,ul. Chmielna,2b,26-600
584,Gdynia,ul. Starodworcowa,36,81-575
585,Koszarawa,,434,34-332
586,Solec-Zdrój,ul. 1 Maja,18,28-131
587,Ludzisko,,10,88-160
588,Mokre,,32,38-542
589,Kołodziejewo,ul. Szkolna,10,88-160
590,Radoszewice,ul. Niemojewskich,1B,98-354
591,Wapowce,,50,37-700
592,Lubin,ul. Mikołaja Kopernika,16,59-300
593,Góra,ul. Szkolna,4,84-252
594,Legnica,ul. Złotoryjska,54/56,59-220
595,Kalsk,,65,66-100
596,Dzikowiec,,95,57-432
597,Dzikowiec,,94,57-432
598,Ciechanów,ul. 17 Stycznia,66,06-400
599,Przemyśl,ul. Kapitulna,7,37-700
600,Kije,ul. Szkolna,5,66-100
601,Kraków,ul. Stanisława Pigonia,2a,31-230
602,Koszarawa,,142,34-332
603,Kraków,ul. Mazowiecka,45,30-019
604,Bukowiec,ul. Szkolna,3,95-006
605,Lubin,ul. Odrodzenia,34,59-300
606,Kraków,ul. Poronińska,7,30-499
607,Bilczew,,2,62-511
608,Kraków,ul. Sanocka,4,30-620
609,Kozienice,ul. Stefana Żeromskiego,3,26-900
610,Kozienice,ul. Głowaczowska,33A,26-900
611,Lubin,ul. Marii Skłodowskiej-Curie,176,59-301
612,Bydgoszcz,ul. Fordońska,120,85-739
613,Czerwonak,ul. Rolna,8,62-004
614,Bądkowo,ul. Włocławska,13,87-704
615,Bolechowo-Osiedle,ul. Wojska Polskiego,6,62-005
616,Koziegłowy,ul. Poznańska,17,62-028
617,Kicin,ul. Gwarna,1,62-004
618,Owińska,ul. Poprzeczna,10,62-005
619,Lublin,ul. Onyksowa,8,20-582
620,Owińska,ul. Poprzeczna,5,62-005
621,Legnica,ul. Chojnowska,100,59-220
622,Ciechanów,ul. Mikołaja Kopernika,7,06-400
623,Czerwonak,pl. Zielony,4,62-004
624,Aleksandrów Kujawski,ul. Fryderyka Chopina,24,87-700
625,Przemyśl,ul. Elżbiety Drużbackiej,2,37-700
626,Rostarzewo,ul. Rakoniewicka,23,62-068
627,Parysów,ul. Książęca,11,08-441
628,Wola Starogrodzka,,102a,08-441
629,Koziegłowy,ul. Kanałowa,7,62-028
630,Jabłonna,ul. Nowotomyska,9,64-308
631,Kozienice,ul. Konstytucji 3 Maja,4,26-900
632,Kozienice,ul. Batalionów Chłopskich,11,26-900
633,Świerże Górne,,12,26-900
634,Kozienice,ul. Warszawska,29,26-900
635,Kozienice,ul. Jana Kochanowskiego,1,26-900
636,Koziegłowy,os. Leśne,22,62-028
637,Łąkie,,81,62-068
638,Ruchocice,ul. Poznańska,23,62-073
639,Brzeszcze,ul. Szkolna,6,32-620
640,Koziegłowy,os. Leśne,23,62-028
641,Miękowo,ul. Ogrodowa,2,62-005
642,Kicin,ul. Rolna,24,62-004
643,Kozienice,ul. Mikołaja Kopernika,11,26-900
644,Lublin,ul. Bogdanówka,9,20-810
645,Kraków,os. Osiedle Złotego Wieku,13,31-616
646,Brzeszcze,ul. A. Mickiewicza,3,32-620
647,Ciechanów,ul. Powstańców Warszawskich,24,06-400
648,Będzin,ul. Mikołaja Kopernika,2,42-500
649,Jawiszowice,ul. Kusocińskiego,1,32-626
650,Orle,ul. Nadrzeczna,19,84-252
651,Gościcino,ul. Wejherowska,22,84-241
652,Nowy Dwór Wejherowski,ul. Szkolna,1,84-206
653,Gdynia,ul. Łebska,12,81-101
654,Choszczno,ul. Polna,5,73-200
655,Legnica,ul. Senatorska,32,59-220
656,Kraków,ul. Kotlarska,5a,31-539
657,Kraków,ul. Słomiana,8,30-316
658,Więckowice,ul. Gromadzka,7,62-070
659,Sulechów,os. Nadodrzańskie,3B,66-100
660,Potulice,al. Parkowa,1,89-120
661,Jaworznia,,93,26-065
662,Kraków,ul. Merkuriusza Polskiego,6,30-698
663,Sulechów,ul. Kościuszki,16,66-100
664,Łęknica,ul. Wojska Polskiego,19A,68-208
665,Dąbrowa Zielona,pl. Plac Kościuszki,44,42-265
666,Mikluszowice,,228,32-708
667,Dziewin,,231,32-708
668,Świniary,,174,32-709
669,Mikluszowice,,228,32-708
670,Drwinia,,173,32-709
671,Mikluszowice,,228,32-708
672,Drwinia,,173,32-709
673,Ciechanów,ul. Stefana Okrzei,6,06-400
674,Nowy Dwór Mazowiecki,ul. Mazowiecka,12,05-100
675,Ciechanów,ul. Orylska,9,06-400
676,Otwock,ul. Literacka,8,05-400
677,Inowrocław,ul. Najświętszej Marii Panny,22/24,88-100
678,Inowrocław,ul. Szarych Szeregów,1,88-100
679,Siewierz,ul. Tadeusza Kościuszki,15,42-470
680,Zamość,ul. Lwowska,15,22-400
681,Inowrocław,al. Mikołaja Kopernika,18,88-100
682,Inowrocław,ul. Chemiczna,9,88-100
683,Inowrocław,ul. Stanisława Przybyszewskiego,119,88-100
684,Inowrocław,ul. Jana III Sobieskiego,5/7,88-100
685,Inowrocław,ul. Zygmunta Kurka,16,88-100
686,Lesko,ul. Al. Jana Pawła II,18 A,38-600
687,Kościelec,,14,88-170
688,Pakość,ul. Błonie,2,88-170
689,Goleniów,ul. Niepodległości,1B,72-100
690,Gdynia,ul. adm. J. Unruga,88,81-153
691,Żywiec,ul. Pogodna,12,34-300
692,Grodków,ul. Krakowska,20,49-200
693,Gdynia,ul. Harcerska,4,81-425
694,Ociesęki,,63,26-035
695,Ustka,ul. Bursztynowa,12,76-270
696,Zamość,ul. Szczebrzeska,41,22-400
697,Limanowa,ul. Władysława Orkana,1,34-600
698,Limanowa,ul. Józefa Piłsudskiego,81,34-600
699,Limanowa,ul. Zygmunta Augusta,8,34-600
700,Mszana Dolna,ul. Józefa Marka,2,34-730
701,Tymbark,,349,34-650
702,Choszczno,ul. Bolesława Chrobrego,27,73-200
703,Rachcin,,8A,87-617
704,Iława,ul. Mikołaja Kopernika,8a,14-200
705,Kraków,ul. Prądnicka,72b,31-202
706,Kraków,ul. Republiki Korczakowskiej,3,30-867
707,Gdynia,ul. Cechowa,22,81-194
708,Czarne,ul. Pomorska,1,77-330
709,Ciechanów,ul. Mikołaja Kopernika,7,06-400
710,Czeladź,ul. Grodziecka,29,41-250
711,Wojkowice,ul. Źrałków,1,42-580
712,Dulsk,,28A,87-404
713,Cigacice,pl. Szkolny,10,66-131
714,Ciechanów,ul. Henryka Sienkiewicza,13,06-400
715,Kraków,ul. ks. Władysława Gurgacza,1,31-537
716,Gdynia,ul. Artura Grottgera,19,81-438
717,Gliwice,ul. Przedwiośnie,2,44-119
718,Gdynia,ul. Piotra Ściegiennego,8,81-257
719,Gdynia,ul. Uczniowska,1,81-647
720,Włodowice,ul. Krakowska,13,42-421
721,Basznia Dolna,ul. Szkolna,24,37-621
722,Złotniki,,61,39-300
723,Złotniki,,61,39-300
724,Dźwierzuty,ul. Sienkiewicza,2A,12-120
725,Legnica,ul. Słubicka,1,59-220
726,Orzyny,,34,12-120
727,Ostrowiec Świętokrzyski,ul. Henryka Sienkiewicza,67,27-400
728,Gdynia,ul. Morska,192,81-006
729,Łosiów,ul. Główna,1,49-330
730,Wołów,ul. Więzienna,6,56-100
731,Gdynia,ul. Grabowo,12,81-265
732,Włocławek,ul. Bartnicka,10,87-800
733,Kamionna,ul. Powstańców Wielkopolskich,2,64-421
734,Lublin,ul. Prezydenta Gabriela Narutowicza,31,20-016
735,Lublin,ul. Zemborzycka,63,20-455
736,Gdynia,ul. Tatrzańska,40,81-313
737,Lublin,ul. Towarowa,25,20-205
738,Pińczów,ul. 1 Maja,2,28-400
739,Gdynia,ul. Chabrowa,43,81-079
740,Okup Mały,ul. Akacjowa,4,98-100
741,Czarnca,ul. Szkolna,16A,29-100
742,Szczecin,ul. Grażyny,7,71-631
743,Janikowo,ul. Słoneczna,31,88-160
744,Lublin,ul. Ludwika Hirszfelda,6,20-092
745,Szczecin,ul. Potulicka,62,70-230
746,Lidzbark Warmiński,ul. Ignacego Krasickiego,4,11-100
747,Radom,ul. Ofiar Firleja,14,26-600
748,Radom,ul. Jana i Jędrzeja Śniadeckich,5,26-600
749,Gdynia,ul. Jana z Kolna,5,81-351
750,Lublin,ul. Feliksa Skubiszewskiego,21,20-785
751,Kolonia Bałucz,,32,98-100
752,Toruń,ul. Gościnna,8,87-100
753,Długołęka,ul. Szkolna,40,55-095
754,Dołholiska,,1,21-580
755,Ciechanów,ul. Armii Krajowej,43,06-400
756,Kraków,ul. Generała Tadeusza Kutrzeby,6,30-515
757,Kraków,ul. Macieja Miechowity,11,31-475
758,Kraków,os. Osiedle Słoneczne,10,31-957
759,Kraków,ul. Piekarska,14,31-067
760,Wasilków,ul. Polna,1/4A,16-010
761,Szczecin,ul. Michała Kleofasa Ogińskiego,9,71-481
762,Bystrzyca Stara,,89,23-107
763,Sędziszów,ul. Tadeusza Kościuszki,7,28-340
764,Zakrzewo,ul. Leśna,3a,87-707
765,Miały,ul. Powstańców Wielkopolskich,13,64-730
766,Polubicze Wiejskie Pierwsze,,100,21-580
767,Gliwice,ul. Sikornik,34,44-122
768,Gdynia,ul. Cypriana Godebskiego,8,81-134
769,Gliwice,ul. Płocka,16,44-164
770,Kalwaria Zebrzydowska,ul. Władysława Niemczynowskiego,1,34-130
771,Jabłoń,ul. Jadwigi Tokarskiej,2,21-205
772,Horodyszcze,ul. Rynek,6,21-580
773,Szczecin,ul. Aleksandra Kostki Napierskiego,13,70-783
774,Stęszew,ul. Poznańska,25,62-060
775,Rakoniewice,ul. Garbary,8,62-067
776,Bielsko-Biała,ul. 1 Maja,6,43-300
777,Wadowice,ul. Emilii i Karola Wojtyłów,16,34-100
778,Szczecin,ul. Jodłowa,11,71-114
779,Gliwice,ul. Władysława Sikorskiego,132,44-103
780,Wola Goryńska,,45,26-631
781,Andrychów,ul. Metalowców,10,34-120
782,Dydnia,,221,36-204
783,Małdyty,ul. Prusa,10,14-330
784,Wielki Dwór,,9,14-330
785,Skórzewo,ul. Poznańska,70,60-185
786,Leszno,al. Aleje Zygmunta Krasińskiego,2,64-100
787,Zamość,ul. Hetmana Jana Zamoyskiego,4a,22-400
788,Świdnica,ul. Rotmistrza Witolda Pileckiego,3,58-100
789,Toruń,ul. Stefana Batorego,43/49,87-100
790,Lubin,ul. Tadeusza Kościuszki,9,59-300
791,Dobrocin,,49A,14-330
792,Gulcz,ul. Czarnkowska,10,64-730
793,Gdynia,ul. Lucjana Cylkowskiego,5,81-465
794,Nowa Wieś,,69,05-660
795,Warka,ul. ks. kard. Stefana Wyszyńskiego,3,05-660
796,Gliwice,ul. Partyzantów,25,44-113
797,Dzierżążno Wielkie,,24,64-730
798,Mirków,ul. Adama Mickiewicza,19,55-095
799,Czostków,ul. Świerkowa,6,29-105
800,Nysa,ul. Marii Rodziewiczówny,1,48-303
801,Pleszew,ul. Poznańska,36,63-300
802,Kraków,os. Osiedle Tysiąclecia,15,31-606
803,Kraków,ul. Zygmunta Wróblewskiego,8,31-148
804,Brzeg,ul. Sergiusza Mossora,4,49-300
805,Gliwice,ul. Chorzowska,5,44-100
806,Rawicz,ul. Wały Jarosława Dąbrowskiego,29,63-900
807,Legnica,ul. Polarna,1,59-220
808,Gliwice,ul. Dolnej Wsi,74,44-100
809,Rawicz,ul. 17 Stycznia,28,63-900
810,Grudziądz,ul. J. Wybickiego,10/22,86-300
811,Wojkowice,ul. Jana III Sobieskiego,298,42-580
812,Wronki,ul. Partyzantów,1,64-510
813,Opole Lubelskie,ul. Owocowa,7,24-300
814,Płock,ul. Henryka Sienkiewicza,22,09-402
815,Włodawa,ul. Żołnierzy WiN,19,22-200
816,Szczecin,ul. Kaszubska,28,70-226
817,Nowy Wiśnicz,ul. Zamkowa,1,32-720
818,Szczecin,ul. Unisławy,15a,71-413
819,Kielce,al. Legionów,4,25-035
820,Szczecin,ul. Mazowiecka,2,70-201
821,Kalisz,ul. Warszawska,8,62-800
822,Kalisz,al. Aleja Wojska Polskiego,30,62-800
823,Kalisz,ul. Serbinowska,21,62-800
824,Grodków,ul. Warszawska,42,49-200
825,Grodzisk Mazowiecki,ul. Sportowa,31,05-825
826,Adamowizna,ul. Osowiecka,33,05-825
827,Izdebno Kościelne,ul. ks. M. Oziębłowskiego,9,05-825
828,Kalisz,ul. Prymasa Stefana Wyszyńskiego,19A,62-800
829,Szczecin,ul. ks. Piotra Skargi,18,71-423
830,Wodzisław Śląski,ul. Szkolna,1,44-300
831,Radom,ul. Wośnicka,125C,26-600
832,Kalisz,ul. Prymasa Stefana Wyszyńskiego,3a,62-800
833,Kalisz,ul. Młynarska,20,62-800
834,Gdynia,ul. Wiczlińska,50A,81-578
835,Kalisz,ul. Adama Asnyka,6a,62-800
836,Radom,ul. Wośnicka,125C,26-600
837,Gorzów Wielkopolski,ul. gen. Jarosława Dąbrowskiego,33,66-400
838,Gorzów Wielkopolski,ul. 30 Stycznia,29,66-400
839,Gorzów Wielkopolski,ul. Okólna,35,66-400
840,Wieleń,ul. Sportowa,1,64-730
841,Bydgoszcz,ul. 11 Listopada,4,85-634
842,Zawiercie,ul. Miejska,24,42-400
843,Grodków,ul. Warszawska,42,49-200
844,Wschowa,ul. Kościuszki,11,67-400
845,Toruń,ul. Wielkie Garbary,9,87-100
846,Grodków,ul. Warszawska,42,49-200
847,Wodzisław Śląski,ul. Kardynała Stefana Wyszyńskiego,39,44-300
848,Wodzisław Śląski,ul. Pszowska,92,44-300
849,Lidzbark Warmiński,ul. Księcia Józefa Poniatowskiego,3,11-100
850,Porządzie,,93,07-205
851,Komorowo,,34,07-205
852,Sosnowiec,ul. Ignacego Krasickiego,1,41-218
853,Lidzbark Warmiński,ul. Krucza,8,11-100
854,Legnica,ul. Gliwicka,19-21,59-220
855,Gdynia,ul. Zielona,53,81-197
856,Błonie,ul. Łąki,2,05-870
857,Dąbrówka Tuchowska,,145A,33-170
858,Rydułtowy,ul. Obywatelska,30,44-280
859,Grabowiec,ul. Wojsławska,1,22-425
860,Bielino,,32A,07-207
861,Stary Lubiel,,22A,07-207
862,Kielce,ul. Marszałkowska,96,25-549
863,Lubaszowa,,126,33-172
864,Czernichów,ul. Turystyczna,8,34-311
865,Wschowa,ul. Kościuszki,25,67-400
866,Dźwierzuty,ul. Sienkiewicza,2A,12-120
867,Legnica,ul. Władysława Reymonta,1,59-220
868,Kielce,ul. Karola Szymanowskiego,5,25-361
869,Nakło nad Notecią,ul. gen. Henryka Dąbrowskiego,4,89-100
870,Piotrkowice,,7,33-170
871,Ostrów Wielkopolski,ul. Gimnazjalna,13,63-400
872,Stary Toruń,ul. Liliowa,21,87-134
873,Kielce,ul. Marszałka Józefa Piłsudskiego,42,25-431
874,Łąkta Dolna,,136,32-733
875,Kielce,ul. Biskupa Adama Naruszewicza,25,25-628
876,Brodnica,ul. Stefana Czarnieckiego,2,87-300
877,Lidzbark Warmiński,ul. Leśna,15,11-100
878,Gdynia,ul. Ignacego Krasickiego,28,81-385
879,Bydgoszcz,ul. Fordońska,120,85-739
880,Bydgoszcz,ul. Fordońska,120,85-739
881,Bydgoszcz,ul. Fordońska,120,85-067
882,Bydgoszcz,ul. Fordońska,120,85-739
883,Lubstów,ul. Kościelna,1a,62-610
884,Kielce,ul. Majora Jurija Gagarina,5,25-031
885,Brodnica,ul. Żwirki i Wigury,10,87-300
886,Gdynia,ul. Leopolda Staffa,10,81-597
887,Runowo,,55,11-100
888,Sucha Beskidzka,ul. płk. Tadeusza Semika,3,34-200
889,Borkowo,ul. Akacjowa,2,80-180
890,Wiślinka,ul. Szkolna,10,83-011
891,Wiślina,ul. Mostowa,5,83-021
892,Bielawa,ul. Stefana Żeromskiego,18,58-260
893,Kraszewo,,2,11-100
894,Pszów,ul. Romualda Traugutta,32,44-370
895,Gdynia,ul. Zielona,53,81-197
896,Biskupice Zabaryczne,,48,63-510
897,Braniewo,ul. Wiejska,2,14-500
898,Gdynia,ul. Morska,186,81-225
899,Sopot,ul. Armii Krajowej,50/54,81-843
900,Braniewo,ul. Gdańska,19,14-500
901,Legnica,pl. Klasztorny,7,59-220
902,Lidzbark Warmiński,ul. Orła Białego,5,11-100
903,Aleksandrów Łódzki,ul. Łęczycka,4,95-070
904,Kielce,ul. Stefana Żeromskiego,36,25-370
905,Lidzbark Warmiński,ul. Szkolna,3,11-100
906,Kielce,ul. Marszałka Józefa Piłsudskiego,42,25-431
907,Wałcz,ul. Robotnicza,23,78-600
908,Kraków,al. Aleja Kasztanowa,6,30-227
909,Kraków,os. Osiedle Willowe,1,31-901
910,Kraków,ul. Benedyktyńska,4,30-398
911,Kraków,ul. Rżącka,1,30-687
912,Kraków,ul. Lilli Wenedy,7,30-833
913,Kolno,,42A,11-311
914,Szczekociny,ul. Jana Pawła II,3,42-445
915,Gdynia,ul. Energetyków,13,81-184
916,Łyna,,26,13-100
917,Gdynia,ul. Stefana Okrzei,16,81-245
918,Bielsk,ul. Sierpecka,42,09-230
919,Ciachcin Nowy,,54,09-230
920,Leszczyn Szlachecki,,34,09-230
921,Zagroba,,40,09-230
922,Zągoty,,11,09-230
923,Bielsk,ul. Płocka,19,09-230
924,Rzeszów,ul. Krośnieńska,15a,35-505
925,Szczecin,ul. Stefana Jaracza,5a,70-775
926,Sopot,ul. 23 Marca,88/90,81-820
927,Krynki,ul. Aleja Szkolna,10,16-120
928,Orneta,ul. 1 Maja,28,11-130
929,Brzeg,ul. Kamienna,3,49-300
930,Jaworze,ul. Szkolna,180,43-384
931,Jaworze,ul. Szkolna,180,43-384
932,Jaworze,ul. Wapienicka,74,43-384
933,Gdynia,ul. Ludwika Zamenhofa,8,81-218
934,Gdynia,ul. bp. Dominika,5,81-402
935,Gdynia,ul. Władysława IV,52,81-384
936,Łomianki,ul. Stanisława Staszica,2,05-092
937,Złotów,ul. ks. dr. Bolesława Domańskiego,54,77-400
938,Szczecin,ul. Emilii Gierczak,33,70-825
939,Uwieliny,ul. Szkolna,2A,05-540
940,Prażmów,ul. Franciszka Ryxa,72,05-505
941,Sopot,ul. 3 Maja,56,81-858
942,Wiśniowa,,76,38-124
943,Gdynia,ul. Leopolda Staffa,10,81-597
944,Wielka Wieś,,210,32-830
945,Włocławek,ul. Nowomiejska,25,87-800
946,Żywiec,ul. Aleja Legionów,47,34-300
947,Chojnice,ul. Sukienników,13,89-600
948,Chojnice,ul. Kościerska,11a,89-600
949,Bukowa,ul. Szkolna,8,29-105
950,Śrem,ul. Józefa Wybickiego,2,63-100
951,Legnica,ul. Tatrzańska,11,59-220
952,Częstochowa,ul. Bolesława Prusa,20,42-207
953,Krasocin,ul. Floriańska,1,29-105
954,Kraków,al. Aleja Artura Grottgera,28,30-043
955,Kraków,ul. Strzelców,5,31-422
956,Kraków,ul. Podedworze,2a,30-686
957,Kraków,os. Osiedle Na Lotnisku,15,31-803
958,Gdynia,ul. Raduńska,21,81-057
959,Ośno Górne,,2A,62-610
960,Gdynia,ul. płk. Stanisława Dąbka,277,81-155
961,Kraków,ul. Studencka,12,31-116
962,Kazimierz Biskupi,ul. Węglewska,12,62-530
963,Szczecin,ul. Tadeusza Zawadzkiego,128,71-246
964,Krosno,ul. Stefana Kisielewskiego,15,38-400
965,Szczecin,ul. Milczańska,44,70-107
966,Kielce,ul. Marszałkowska,96,25-549
967,Brody,ul. Jagielnicka,97,66-100
968,Małdyty,ul. Kopernika,13C,14-330
969,Stróżewo,,59,64-800
970,Szczecin,ul. Xawerego Dunikowskiego,44,70-123
971,Bielawa,ul. Stefana Żeromskiego,41a,58-260
972,Oleśnica,,5,64-800
973,Lidzbark Warmiński,ul. Kardynała Stefana Wyszyńskiego,20,11-100
974,Olsztyn,ul. Bałtycka,4,10-136
975,Legnica,ul. Wielkiej Niedźwiedzicy,14a,59-220
976,Szczecin,ul. Stefana Jaracza,3,70-775
977,Strzelce,,10,64-800
978,Olszyny,,29,32-831
979,Orneta,ul. Dworcowa,8,11-130
980,Sokółki,,18,62-530
981,Łowyń,ul. Szkolna,1,64-426
982,Kazimierz Biskupi,ul. Ogrodowa,3,62-530
983,Kozarzew,,4,62-530
984,Kaszewy Dworne,,19,99-314
985,Warszawa,ul. Jana Marcina Szancera,7,02-495
986,Kielce,ul. Kozia,10a,25-514
987,Końskie,ul. Warszawska,53,26-200
988,Gdynia,al. Zwycięstwa,194,81-540
989,Stróżewo,,59,64-800
990,Szamotuły,ul. Szczuczyńska,3,64-500
991,Kraków,ul. Jana Kurczaba,19,30-868
992,Kraków,ul. Kazimierza Odnowiciela,4,31-481
993,Stróżewo,,63,64-800
994,Kielce,ul. Mikołaja Kopernika,8,25-336
995,Kościelna Wieś,ul. Kaliska,2,62-811
996,Rychtal,ul. Osiedle 600-lecia,4,63-630
997,Sulechów,ul. Styczniowa,23,66-100
998,Końskie,ul. Stanisława Staszica,5,26-200
999,Świątniki Górne,ul. Kazimierza Bruchnalskiego,35,32-040
1000,Wieleń,ul. Drawska,1,64-730
1001,Przywózki,ul. Szkolna,3,08-300
1002,Przywózki,,3,08-300
1003,Dąbrówka Warszawska,,117,26-680
1004,Łączany,,40,26-680
1005,Polany,,141,26-680
1006,Wierzbica,ul. Ignacego Krasickiego,38,26-680
1007,Ruda Wielka,ul. Radomska,10,26-680
1008,Szczecin,ul. Jana Chryzostoma Paska,34,71-622
1009,Polany,,60,26-680
1010,Łączany,,61,26-680
1011,Szamotuły,ul. Adama Mickiewicza,4,64-500
1012,Wierzbica,ul. Żeromskiego,62,26-680
1013,Pawłowice,,94,28-340
1014,Szczecin,os. Kasztanowe,54,70-895
1015,Tychy,ul. Henryka Dąbrowskiego,85,43-100
1016,Kielce,ul. Generała Tadeusza Kościuszki,5,25-310
1017,Hecznarowice,ul. Krakowska,110,43-330
1018,Gołuchów,ul. Czartoryskich,53,63-322
1019,Szczecin,ul. Czesława,7,71-504
1020,Lublin,ul. Marii Kuncewiczowej,16,20-439
1021,Wałcz,ul. Aleja Tysiąclecia,19,78-600
1022,Kraków,os. Osiedle Dywizjonu 303,49,31-875
1023,Kraków,ul. Aleksandry,15,30-837
1024,Kraków,os. Osiedle Józefa Strusia,8,31-808
1025,Kraków,os. Osiedle Albertyńskie,23,31-853
1026,Jedlec,,154,63-322
1027,Szczecin,ul. 3 Maja,4,70-214
1028,Kucharki,,39,63-322
1029,Zwoleń,ul. Sienkiewicza,17,26-700
1030,Bydgoszcz,ul. Maksymiliana Piotrowskiego,12-14,85-098
1031,Sopot,ul. Oskara Kolberga,8,81-881
1032,Andrychów,Rynek,12,34-120
1033,Wronki,ul. Leśna,17,64-510
1034,Rzeszów,ul. Podwisłocze,20,35-309
1035,Rzeszów,ul. Mazurska,19,35-620
1036,Rzeszów,ul. Jana Kochanowskiego,24,35-201
1037,Rzeszów,al. prof. Adama Krzyżanowskiego,20,35-329
1038,Rzeszów,ul. Ofiar Katynia,11,35-209
1039,Rzeszów,ul. Dębicka,288,35-213
1040,Rzeszów,ul. Hetmańska,45b,35-078
1041,Rzeszów,ul. Fryderyka Szopena,11,35-055
1042,Gdynia,ul. Morska,77,81-222
1043,Wadowice,ul. Nadbrzeżna,25b,34-100
1044,Lesiów,,47,26-631
1045,Wronki,ul. Powstańców Wielkopolskich,25,64-510
1046,Szczecin,ul. Adama Mickiewicza,23,70-383
1047,Tursko,,10,63-322
1048,Trzygłów,,24,72-300
1049,Międzybrodzie Bialskie,ul. Bielska,2,34-312
1050,Międzybrodzie Żywieckie,ul. Beskidzka,27,34-312
1051,Kraków,ul. Macieja Miechowity,4,31-475
1052,Kraków,ul. Kazimierza Czapińskiego,5,30-048
1053,Kraków,ul. Kapucyńska,2,31-113
1054,Kraków,ul. gen. Józefa Bema,21,31-517
1055,Ropica Górna,,29,38-307
1056,Wojkowice Kościelne,ul. Zachodnia,4,42-510
1057,Żelisławice,ul. Przyszłości,9,42-470
1058,Włodowice,,25,57-400
1059,Szczecin,ul. Eugeniusza Romera,11,71-246
1060,Sopot,ul. Aleja Niepodległości,763,81-838
1061,Ochojno,ul. Podhalańska,27,32-040
1062,Wrząsowice,ul. Szkolna,5,32-040
1063,Rzeszotary,ul. Pod Dębiną,45,32-040
1064,Kielce,ul. Urzędnicza,16,25-729
1065,Szczecin,al. Papieża Jana Pawła II,2,70-413
1066,Żębocin,,65,32-100
1067,Strzelce Wielkie,ul. Częstochowska,8a,98-337
1068,Wałcz,ul. F. Chopina,19-21,78-600
1069,Szamotuły,ul. Hugona Kołłątaja,1,64-500
1070,Szczecin,ul. Krzemienna,42a,70-734
1071,Żębocin,,65,32-100
1072,Wałcz,ul. Aleja Tysiąclecia,21,78-600
1073,Nysa,ul. Tadeusza Kościuszki,4a,48-300
1074,Szczecin,ul. Jaśminowa,4,70-773
1075,Ruda Wielka,ul. Radomska,10,26-680
1076,Goleniów,ul. Stargardzka,17,72-100
1077,Wałcz,os. Osiedle Dolne Miasto,25a,78-600
1078,Szczecin,ul. Władysława Łokietka,16,70-256
1079,Legnica,ul. Konstantego Ciołkowskiego,1,59-220
1080,Kraków,ul. Sądowa,4,31-542
1081,Zalesice,,31,26-680
1082,Gdynia,ul. Wiczlińska,33,81-578
1083,Bydgoszcz,ul. Maksymiliana Piotrowskiego,12-14,85-098
1084,Wałcz,ul. Wojska Polskiego,53,78-600
1085,Gdynia,ul. Sambora,48,81-201
1086,Bydgoszcz,ul. Wojska Polskiego,46A,85-825
1087,Szamotuły,ul. Bolesława Chrobrego,8,64-500
1088,Gliwice,ul. Aleksandra Gierymskiego,7,44-102
1089,Szczecin,ul. Emilii Plater,86,71-635
1090,Kielce,ul. Zagórska,14,25-355
1091,Przedbórz,ul. Piotrkowska,1,97-570
1092,Wałcz,ul. Papieża Jana XXIII,5,78-600
1093,Międzyrzec Podlaski,ul. Leśna,2A,21-560
1094,Szczecin,ul. Hipolita Cegielskiego,9,71-543
1095,Gdynia,ul. Władysława IV,54,81-384
1096,Leszno,ul. Księcia Józefa Poniatowskiego,2,64-100
1097,Górzyca,,20,72-300
1098,Sulechów,ul. Konopnickiej,5,66-100
1099,Gdynia,ul. Witomińska,25,81-311
1100,Kielce,ul. Kryształowa,6,25-751
1101,Sokółki,,18,62-530
1102,Kozarzew,,4,62-530
1103,Dobrosołowo,,42,62-530
1104,Sokółki,,18,62-530
1105,Kozarzew,,4,62-530
1106,Dobrosołowo,,42,62-530
